dh,sign-up,view-all-sales,view-sales,view-product,add-cart,view-cart,checkout
2013-05-08-13,15458,15544,90170,69452,1102,1993,578
2013-05-08-14,13234,14526,79833,58011,1043,1695,421
2013-05-08-15,13305,14352,72933,44694,804,1516,272
2013-05-08-16,13390,15000,77124,46448,951,1583,365
2013-05-08-17,13694,17546,88401,54659,1246,2143,447
2013-05-08-18,16162,21073,100917,60173,1193,2523,494
2013-05-08-19,14217,18612,91095,60677,943,1888,401
2013-05-08-20,10702,14755,69442,47203,695,1597,259
2013-05-08-21,7546,10442,46786,39910,511,1320,180
2013-05-08-22,5683,7512,31281,30749,392,724,135
2013-05-08-23,4202,5381,18434,30396,225,522,71
2013-05-09-00,2972,3868,11116,12473,124,377,42
2013-05-09-01,2494,3425,7785,21377,75,219,38
2013-05-09-02,2680,3815,10255,23820,120,244,39
2013-05-09-03,3808,4567,15281,22346,202,281,71
2013-05-09-04,6579,6917,23928,25205,281,641,127
2013-05-09-05,10193,9185,30762,20812,414,799,185
2013-05-09-06,11374,11244,38793,27283,537,990,300
2013-05-09-07,12573,13456,53848,41138,740,1255,283
2013-05-09-08,17109,36685,316557,172092,5077,7488,1800
2013-05-09-09,14779,22470,154500,104117,2341,4063,952
2013-05-09-10,14190,18492,115112,75223,1788,2844,643
2013-05-09-11,15239,19496,96270,75358,1354,2357,520
2013-05-09-12,14270,16238,83192,68335,1070,1874,350
2013-05-09-13,15412,14897,75750,66707,1061,1684,420
2013-05-09-14,12554,13663,68021,52401,834,1557,338
2013-05-09-15,10510,12742,60193,38567,635,1327,301
2013-05-09-16,10282,12887,58097,32379,614,1324,173
2013-05-09-17,10721,15401,75655,38931,760,1497,237
2013-05-09-18,13808,36940,301066,127154,2575,5358,837
2013-05-09-19,12436,26275,190641,100246,1674,3373,610
2013-05-09-20,9891,18279,126694,70927,1083,2368,367
2013-05-09-21,7230,12570,78997,51503,733,1622,320
2013-05-09-22,5723,8302,45422,32763,491,1049,175
2013-05-09-23,4087,5737,27979,32177,284,709,105
2013-05-10-00,2370,3461,14295,12130,126,304,52
2013-05-10-01,2130,2965,10138,14631,97,140,30
2013-05-10-02,2272,3132,13397,15131,103,327,33
2013-05-10-03,3033,4384,24982,23023,205,341,68
2013-05-10-04,5182,6817,38051,21612,336,606,150
2013-05-10-05,6906,8297,48997,23682,474,728,187
2013-05-10-06,8749,10336,56919,29792,541,895,223
2013-05-10-07,9974,11985,64914,40521,697,1386,336
2013-05-10-08,14891,30772,311154,156969,4576,6964,1768
2013-05-10-09,12050,18873,155069,87472,2260,4106,1040
2013-05-10-10,11929,15835,109877,61375,1495,2475,680
2013-05-10-11,13508,15406,94517,54562,1295,2156,448
2013-05-10-12,10261,12415,78480,49974,1067,1928,454
2013-05-10-13,10683,11812,72375,50774,956,1636,426
2013-05-10-14,9918,11154,65981,50158,743,1490,346
2013-05-10-15,8773,10696,61481,44769,773,1370,331
2013-05-10-16,9008,10809,58162,37796,652,1300,306
2013-05-10-17,8747,11377,61346,34877,572,1042,260
2013-05-10-18,9081,13000,69006,41094,652,1433,279
2013-05-10-19,9139,13100,69065,47244,734,1529,255
2013-05-10-20,8116,10949,55851,34940,494,1343,196
2013-05-10-21,6003,8106,39098,23811,330,1002,140
2013-05-10-22,4578,5994,24569,16090,290,566,59
2013-05-10-23,3178,4549,15513,21932,163,327,48
2013-05-11-00,2753,4250,12018,16484,144,273,20
2013-05-11-01,2330,4369,9265,28058,83,164,27
2013-05-11-02,2796,4215,9500,17957,98,202,27
2013-05-11-03,3350,4853,14765,20198,124,290,52
2013-05-11-04,5940,7089,26542,18667,258,517,74
2013-05-11-05,8670,9459,39058,25816,418,925,207
2013-05-11-06,10022,11909,46448,40379,538,1210,240
2013-05-11-07,11036,12736,53863,44238,629,1324,286
2013-05-11-08,14218,31649,275304,150106,4331,7327,1798
2013-05-11-09,12421,22169,167488,116178,2555,4201,1163
2013-05-11-10,11433,17582,127085,88096,1747,3041,775
2013-05-11-11,11412,15728,102474,64078,1409,2201,577
2013-05-11-12,11293,15005,94025,64220,1177,2145,534
2013-05-11-13,12412,15044,87868,65630,1041,1668,400
2013-05-11-14,11349,14134,80536,53618,870,1487,358
2013-05-11-15,10141,13371,75897,52782,867,1450,317
2013-05-11-16,9596,12871,75289,44339,832,1447,379
2013-05-11-17,10060,13939,77399,54495,649,1423,297
2013-05-11-18,10791,14998,81862,50009,785,1458,267
2013-05-11-19,10519,17937,81353,56245,728,1652,272
2013-05-11-20,8666,13894,68294,42824,569,1351,215
2013-05-11-21,6952,10267,48686,31584,421,976,188
2013-05-11-22,5422,8045,33990,25074,293,644,96
2013-05-11-23,4467,5774,21861,31609,198,486,44
2013-05-12-00,2795,4096,12888,14756,160,510,51
2013-05-12-01,2365,3365,8967,17651,114,241,40
2013-05-12-02,2149,3271,10432,13630,70,200,22
2013-05-12-03,2614,4066,13811,18652,99,244,21
2013-05-12-04,4642,5906,22272,25821,198,394,46
2013-05-12-05,7363,8256,32504,24920,343,761,160
2013-05-12-06,8774,10017,39643,27607,539,998,257
2013-05-12-07,9492,12688,44952,32463,559,1115,230
2013-05-12-08,11023,26900,233943,147883,5141,8638,1506
2013-05-12-09,9643,17150,137983,96248,2389,5093,976
2013-05-12-10,9274,14622,106246,65546,1410,2988,537
2013-05-12-11,9717,13466,90411,56927,1086,1917,391
2013-05-12-12,9899,13337,83492,54999,911,1638,341
2013-05-12-13,10630,12677,79769,58356,874,1687,319
2013-05-12-14,10844,13920,79644,56667,763,1679,330
2013-05-12-15,10950,13785,81250,56180,680,1505,238
2013-05-12-16,12842,14651,81204,47667,743,1316,208
2013-05-12-17,13514,17887,100020,52780,818,1765,280
2013-05-12-18,16491,40372,342623,160252,3492,6517,1243
2013-05-12-19,13282,27533,217456,108097,2035,3857,818
2013-05-12-20,9336,19839,144028,75875,1338,2767,505
2013-05-12-21,7189,12694,84725,53754,753,1738,321
2013-05-12-22,4806,8354,50749,36856,473,952,164
2013-05-12-23,3587,5634,29634,32132,266,361,95
2013-05-13-00,2594,4204,19795,17924,150,265,77
2013-05-13-01,2317,3522,14051,22515,130,206,54
2013-05-13-02,2400,3803,20504,26778,219,328,90
2013-05-13-03,3321,5344,33745,33923,336,503,169
2013-05-13-04,5629,7890,56022,40499,561,930,287
2013-05-13-05,8934,11227,75797,37733,674,1151,374
2013-05-13-06,12518,14484,91594,48416,941,1571,467
2013-05-13-07,12931,16441,103823,58905,1059,1628,433
2013-05-13-08,18095,38981,344261,160924,3975,5767,1408
2013-05-13-09,15415,24084,180978,104345,2024,3170,884
2013-05-13-10,14746,19462,134676,74730,1360,2186,548
2013-05-13-11,15582,18105,113451,68018,1104,1706,410
2013-05-13-12,15740,17762,97721,61641,1010,1632,387
2013-05-13-13,15214,16354,87110,54905,754,1207,293
2013-05-13-14,13909,14974,79235,56497,671,987,239
2013-05-13-15,13816,15049,73630,46168,643,1421,285
2013-05-13-16,13991,15950,75788,42137,616,1225,237
2013-05-13-17,14027,18389,96283,50012,742,1570,238
2013-05-13-18,17252,42565,377296,160274,3909,6619,1378
2013-05-13-19,14191,27839,228359,117538,2190,4155,851
2013-05-13-20,10777,19173,146114,74412,1335,2384,544
2013-05-13-21,7637,12852,87500,45810,766,1509,298
